misinformation,propaganda,fear,urgency,neutral,label
0.7573459148406982,0.8263617753982544,0.7974779605865479,0.0,0.0062050228007137775,
0.7187917828559875,0.5751108527183533,0.07906799018383026,0.0,0.05618453398346901,
0.15259963274002075,0.10105591267347336,0.06431474536657333,0.0,0.08306850492954254,
0.10235217226935285,0.07294169387647084,0.020471239429233328,0.14285714285714285,0.009735111513042025,
0.6547854840755463,0.5260888785123825,0.12978578358888626,0.0,0.04937363043427467,
0.41134732961654663,0.3178495764732361,0.07323096692562103,0.0,0.034521061927080154,
0.6170542538166046,0.46419668197631836,0.15489816665649414,0.5,0.029609883204102516,
0.6823620796203613,0.6338636875152588,0.5346125364303589,0.0,0.02108483947813511,
0.5700890421867371,0.38890625536441803,0.19767984747886658,0.5,0.49299425072968006,
0.02178117074072361,0.07349652796983719,0.024727407842874527,0.0,0.0018494502874091268,
0.27362290024757385,0.11848706752061844,0.20200993120670319,0.0,0.025419654324650764,
0.0,0.0,0.0,0.0,0.0,
0.11709804087877274,0.1264611780643463,0.08181271702051163,0.0,0.004022910259664059,
0.4124118387699127,0.856272280216217,0.2075357586145401,0.0,0.10181248188018799,
0.6666750609874725,0.6093923598527908,0.3892462275689468,0.5,0.09718533139675856,
0.8027699887752533,0.706343874335289,0.4623437710106373,0.5,0.3034869368420914,
0.4019019156694412,0.3793342411518097,0.15929659409448504,0.0,0.006708933622576296,
0.07142910361289978,0.04587334766983986,0.03529416769742966,0.0,0.0021074723917990923,
0.6269239783287048,0.7996771335601807,0.11778760701417923,0.0,0.004982269834727049,
0.5236639380455017,0.5382551550865173,0.32993122935295105,0.0,0.5444645881652832,
0.3420218825340271,0.14152595400810242,0.09207367151975632,0.0,0.007725534029304981,
0.17337566614151,0.07152631878852844,0.5375269651412964,0.0,0.007317397277802229,
0.6869703233242035,0.6944231986999512,0.7846730649471283,0.5,0.013109799474477768,
0.5861903727054596,0.4822460412979126,0.28498538583517075,0.5,0.015136164147406816,
0.2535143494606018,0.06672105193138123,0.039048295468091965,0.0,0.0060386634431779385,
0.9444189965724945,0.5926381647586823,0.013412766391411424,0.0,0.005757009377703071,
0.26785046234726906,0.13793262420222163,0.018423897738102823,0.5,0.09749871604098007,
0.31349650025367737,0.3139194732066244,0.17016893945401534,0.5,0.3562553982483223,
0.3715495578944683,0.43272562821706134,0.2346039575835069,0.3333333333333333,0.29530133105193573,
0.30590465664863586,0.8484549522399902,0.09419748932123184,0.0,0.033431366086006165,
0.21215588783299358,0.14338186293728009,0.08268829008989871,0.3448275862068966,0.12293656584646168,
0.143833102312783,0.11359215758875507,0.07166588964901166,0.0,0.04564620152086718,
0.10492670416299786,0.1331864742761744,0.03073810669593513,0.0,0.01530029670435137,
0.3888224072754383,0.32569902688264846,0.32852378180250524,0.0,0.029718044400215148,
0.5172312632203102,0.7099811807274818,0.3205624492838979,0.0,0.01567266962956637,
0.48509572744369506,0.7097171068191528,0.24922737367451192,0.0,0.007865136791951954,
0.4684740162920207,0.5143737579928711,0.3929594246292254,0.0,0.08210917016549502,
0.477824161760509,0.46736201306339353,0.40120620487141423,0.0,0.03439559703110717,
0.3843042691338009,0.3910895584350718,0.33715034030111773,0.0,0.025492952779001956,
0.5004844529888569,0.49856819479893416,0.5055309448104638,0.0,0.08797499986114697,
0.3202622953735824,0.30041133473693793,0.21829804215147824,0.0,0.0315103612607345,
0.41912164876121094,0.38624341779359384,0.25022634221531914,0.0,0.06259203575027641,
0.43285852391272783,0.4421372214953105,0.4118938156300121,0.0,0.12863137274204442,
0.3625202791558372,0.22440889312161338,0.2998245192898644,0.0,0.07431329171069795,
0.43270046769586556,0.43815240541692163,0.3342436079011189,0.0,0.07389004941180567,
0.190400174818933,0.14676221837289632,0.05194202393759042,0.0,0.08728163640480488,
0.19311010465025902,0.012777265626937151,0.012557351030409336,0.0,0.11133065447211266,
0.24423559863256136,0.13475763463429757,0.10168259087610447,0.0,0.12106887663079154,
0.12064205761998892,0.0995870060287416,0.1036232344340533,0.0,0.036610254319384694,
0.5630708374083042,0.5963032033075305,0.44613286809009667,0.0,0.1776179041240967,
0.3977795226706399,0.4069433245393965,0.3283992161353429,0.0,0.01088304668923633,
0.25619686814025044,0.36727121722651646,0.09009713292471133,0.0,0.02027371386066079,
0.42918958029021387,0.4480256654079194,0.49146116168602655,0.0,0.13627392862690613,
0.4232538241893053,0.3294591860224803,0.4616703143964211,0.0,0.08426554270554334,
0.543832540512085,0.39094078540802,0.05458800122141838,0.0,0.006944127380847931,
0.44571833240999176,0.4204169158453754,0.3507569755040874,0.0,0.054778391790543016,
0.3926819122695763,0.43249589828164536,0.19066957178403668,0.0,0.1001137748465962,
0.39831564773894135,0.4342912162787148,0.16804158474440642,0.0,0.08586350491359121,
0.1737269784456917,0.25252458320132326,0.16177606143589532,0.0,0.011619457392953336,
0.43927800898941666,0.4105138825252652,0.174684246878874,0.0,0.019675310011594914,
0.19882566588265554,0.14694304977144515,0.4410591093557222,0.0,0.04799821339215019,
0.22713828161358834,0.15055780075490474,0.46577624008059504,0.0,0.016197696828749032,
0.24850406048062723,0.16989073074728367,0.1587218268759898,0.0,0.05264645678107627,
0.2436759653414979,0.16963071552971895,0.1416211412202015,0.0,0.10038497242904096,
0.19305626802485099,0.12087424979968504,0.09498117889531633,0.0,0.11094250851734118,
0.4944114089012146,0.2851947911083698,0.43613346517086027,0.0,0.024814743548631668,
0.4448241939147313,0.3642849574486415,0.5976007978121439,0.0,0.03331407442844162,
0.31745772751478046,0.3238106438746819,0.24740248789580968,0.0,0.01758071575134706,
0.31094703699151677,0.29853946653505165,0.2413647212088108,0.0,0.0238933286552007,
0.33576332771917805,0.3789926707977429,0.40347680822742404,0.0,0.09503008031242643,
0.42765315373738605,0.3240928202867508,0.5907034277915955,0.0,0.04129347593213121,
0.543717176060785,0.5211510400880467,0.5136620229618116,0.0,0.06332678567956794,
0.4110216268084266,0.5015389106490395,0.5261529426683079,0.0,0.07785340965810147,
0.37188109507163364,0.46365683608584934,0.5032583996653557,0.0,0.11925593458323015,
0.9522698521614075,0.9177275896072388,0.6217705607414246,0.0,0.021440481767058372,
0.10776731744408607,0.07910842696825664,0.029895260309179623,0.0,0.011566350197729966,
0.3248883937299252,0.3151007715240121,0.42628929127939047,0.0,0.03781985816080123,
0.46378247920812954,0.3435236972994727,0.27668584515549133,0.0,0.12273473135862889,
0.2693995344107626,0.23979348833327768,0.2994288973406785,0.0,0.0380218512620087,
0.5670253503180686,0.5278857318418366,0.32659157101685804,0.0,0.05042932711685786,
